true,pred,prob,type
1,1,0.5634765625,FakeVideo-RealAudio
1,1,0.9990234375,FakeVideo-FakeAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.99951171875,FakeVideo-FakeAudio
1,1,0.9951171875,FakeVideo-FakeAudio
1,1,0.5654296875,FakeVideo-RealAudio
1,1,0.99853515625,FakeVideo-FakeAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.99658203125,FakeVideo-FakeAudio
0,1,0.533203125,RealVideo-RealAudio
1,1,0.9970703125,FakeVideo-FakeAudio
1,1,0.9990234375,RealVideo-FakeAudio
0,1,0.53125,RealVideo-RealAudio
1,1,0.857421875,FakeVideo-FakeAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.99951171875,RealVideo-FakeAudio
1,1,0.998046875,RealVideo-FakeAudio
0,1,0.53759765625,RealVideo-RealAudio
0,1,0.5458984375,RealVideo-RealAudio
1,1,0.99658203125,RealVideo-FakeAudio
1,1,0.81982421875,FakeVideo-RealAudio
1,1,0.99853515625,FakeVideo-FakeAudio
1,1,0.99462890625,FakeVideo-FakeAudio
1,1,0.56982421875,FakeVideo-RealAudio
1,1,0.998046875,RealVideo-FakeAudio
1,1,0.93896484375,FakeVideo-FakeAudio
1,1,0.56640625,FakeVideo-RealAudio
0,1,0.529296875,RealVideo-RealAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.99560546875,RealVideo-FakeAudio
0,1,0.53564453125,RealVideo-RealAudio
1,1,0.998046875,FakeVideo-FakeAudio
0,1,0.5380859375,RealVideo-RealAudio
1,1,0.67626953125,FakeVideo-RealAudio
1,1,0.9970703125,FakeVideo-FakeAudio
1,1,0.556640625,FakeVideo-RealAudio
0,1,0.56591796875,RealVideo-RealAudio
1,1,0.80810546875,FakeVideo-FakeAudio
1,1,0.99755859375,RealVideo-FakeAudio
1,1,0.9970703125,RealVideo-FakeAudio
0,1,0.5390625,RealVideo-RealAudio
1,1,0.533203125,FakeVideo-RealAudio
1,1,0.98974609375,FakeVideo-RealAudio
1,1,0.541015625,FakeVideo-RealAudio
0,1,0.556640625,RealVideo-RealAudio
1,1,0.86083984375,FakeVideo-FakeAudio
1,1,0.98388671875,FakeVideo-FakeAudio
1,1,0.998046875,RealVideo-FakeAudio
1,1,0.998046875,RealVideo-FakeAudio
0,1,0.52783203125,RealVideo-RealAudio
1,1,0.99658203125,RealVideo-FakeAudio
1,1,0.79736328125,FakeVideo-RealAudio
0,1,0.53564453125,RealVideo-RealAudio
1,1,0.86865234375,FakeVideo-RealAudio
0,1,0.541015625,RealVideo-RealAudio
0,1,0.56396484375,RealVideo-RealAudio
1,1,0.998046875,RealVideo-FakeAudio
1,1,0.53173828125,FakeVideo-RealAudio
0,1,0.52978515625,RealVideo-RealAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.99658203125,RealVideo-FakeAudio
1,1,0.99853515625,RealVideo-FakeAudio
0,1,0.529296875,RealVideo-RealAudio
1,1,0.9970703125,RealVideo-FakeAudio
1,1,0.9970703125,FakeVideo-FakeAudio
0,1,0.53955078125,RealVideo-RealAudio
1,1,0.576171875,FakeVideo-RealAudio
1,1,0.99365234375,FakeVideo-FakeAudio
0,1,0.576171875,RealVideo-RealAudio
1,1,0.5224609375,FakeVideo-RealAudio
0,1,0.54443359375,RealVideo-RealAudio
1,1,0.9951171875,RealVideo-FakeAudio
1,1,0.99755859375,FakeVideo-FakeAudio
1,1,0.86962890625,FakeVideo-RealAudio
1,1,0.53759765625,FakeVideo-RealAudio
1,1,0.998046875,RealVideo-FakeAudio
0,1,0.58203125,RealVideo-RealAudio
0,1,0.53857421875,RealVideo-RealAudio
1,1,0.99609375,RealVideo-FakeAudio
1,1,0.9951171875,FakeVideo-FakeAudio
1,1,0.994140625,FakeVideo-FakeAudio
0,1,0.6240234375,RealVideo-RealAudio
1,1,0.998046875,RealVideo-FakeAudio
1,1,0.5498046875,FakeVideo-RealAudio
1,1,0.994140625,FakeVideo-FakeAudio
1,1,0.99853515625,FakeVideo-FakeAudio
1,1,0.53857421875,FakeVideo-RealAudio
1,1,0.9990234375,FakeVideo-FakeAudio
1,1,0.99609375,FakeVideo-FakeAudio
1,1,0.9990234375,RealVideo-FakeAudio
0,1,0.52197265625,RealVideo-RealAudio
1,1,0.998046875,RealVideo-FakeAudio
1,1,0.998046875,RealVideo-FakeAudio
1,1,0.53564453125,RealVideo-FakeAudio
1,1,0.9990234375,FakeVideo-FakeAudio
1,1,0.99609375,FakeVideo-FakeAudio
1,1,0.99755859375,FakeVideo-FakeAudio
0,1,0.9697265625,RealVideo-RealAudio
1,1,0.53515625,FakeVideo-RealAudio
0,1,0.5498046875,RealVideo-RealAudio
1,1,0.94189453125,RealVideo-FakeAudio
1,1,0.546875,FakeVideo-RealAudio
1,1,0.998046875,FakeVideo-FakeAudio
1,1,0.98681640625,FakeVideo-FakeAudio
1,1,0.99609375,FakeVideo-FakeAudio
0,1,0.55224609375,RealVideo-RealAudio
1,1,0.53125,FakeVideo-RealAudio
1,1,0.55859375,FakeVideo-RealAudio
1,1,0.9970703125,FakeVideo-FakeAudio
0,1,0.53857421875,RealVideo-RealAudio
0,1,0.52001953125,RealVideo-RealAudio
1,1,0.96044921875,FakeVideo-FakeAudio
1,1,0.88916015625,RealVideo-FakeAudio
1,1,0.9990234375,FakeVideo-FakeAudio
1,1,0.998046875,FakeVideo-FakeAudio
1,1,0.58544921875,FakeVideo-RealAudio
0,1,0.55078125,RealVideo-RealAudio
1,1,0.9990234375,FakeVideo-FakeAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.99853515625,RealVideo-FakeAudio
0,1,0.52783203125,RealVideo-RealAudio
0,1,0.52880859375,RealVideo-RealAudio
1,1,0.978515625,FakeVideo-FakeAudio
1,1,0.51953125,FakeVideo-RealAudio
0,1,0.55859375,RealVideo-RealAudio
1,1,0.54345703125,FakeVideo-RealAudio
1,1,0.77685546875,FakeVideo-RealAudio
1,1,0.99755859375,RealVideo-FakeAudio
0,1,0.533203125,RealVideo-RealAudio
1,1,0.87890625,FakeVideo-FakeAudio
1,1,0.56640625,FakeVideo-RealAudio
0,1,0.5517578125,RealVideo-RealAudio
0,1,0.52197265625,RealVideo-RealAudio
1,1,0.99658203125,RealVideo-FakeAudio
0,1,0.5380859375,RealVideo-RealAudio
1,1,0.99169921875,FakeVideo-FakeAudio
1,1,0.54248046875,FakeVideo-RealAudio
0,1,0.52099609375,RealVideo-RealAudio
1,1,0.998046875,FakeVideo-FakeAudio
1,1,0.53369140625,FakeVideo-RealAudio
1,1,0.99755859375,RealVideo-FakeAudio
1,1,0.5380859375,FakeVideo-RealAudio
1,1,0.99853515625,RealVideo-FakeAudio
1,1,0.537109375,FakeVideo-RealAudio
0,1,0.52685546875,RealVideo-RealAudio
1,1,0.9990234375,RealVideo-FakeAudio
0,1,0.9912109375,RealVideo-RealAudio
1,1,0.9990234375,RealVideo-FakeAudio
1,1,0.9365234375,FakeVideo-RealAudio
0,1,0.5263671875,RealVideo-RealAudio
1,1,0.54345703125,FakeVideo-RealAudio
1,1,0.537109375,FakeVideo-RealAudio
1,1,0.71240234375,FakeVideo-FakeAudio
0,1,0.52880859375,RealVideo-RealAudio
1,1,0.56982421875,FakeVideo-RealAudio
1,1,0.53662109375,FakeVideo-RealAudio
1,1,0.9951171875,FakeVideo-FakeAudio
0,1,0.53466796875,RealVideo-RealAudio
0,1,0.52978515625,RealVideo-RealAudio
1,1,0.9990234375,RealVideo-FakeAudio
1,1,0.81591796875,FakeVideo-RealAudio
1,1,0.9990234375,FakeVideo-FakeAudio
1,1,0.5546875,FakeVideo-RealAudio
1,1,0.99853515625,RealVideo-FakeAudio
0,1,0.560546875,RealVideo-RealAudio
0,1,0.5224609375,RealVideo-RealAudio
1,1,0.84814453125,FakeVideo-RealAudio
0,1,0.5224609375,RealVideo-RealAudio
1,1,0.99609375,FakeVideo-FakeAudio
1,1,0.5263671875,FakeVideo-RealAudio
1,1,0.548828125,FakeVideo-RealAudio
1,1,0.546875,FakeVideo-RealAudio
